暗箭傷人,暗箭伤人,an4 jian4 shang1 ren2,an tɕjɛn ʂɑŋ ʐən,7,ʂ
暗礁,暗礁,an4 jiao1,an tɕjɑʊ,5,ɑ
按勞付酬,按劳付酬,an4 lao2 fu4 chou2,an lɑʊ fu ʈʂʰoʊ,3,ɑ
按理,按理,an4 li3,an li,3,i
按門鈴,按门铃,an4 men2 ling2,an mən liŋ,3,ə
按摩,按摩,an4 mo2,an mwɔ,3,w
按捺不住,按捺不住,an4 na4 bu4 zhu4,an na pu ʈʂu,3,a
按鈕,按钮,an4 niu3,an njoʊ,3,j
岸炮,岸炮,an4 pao4,an pʰɑʊ,3,ɑ
暗切頭,暗切头,an4 qie4 kou3,an tɕʰjɛ kʰoʊ,4,j
案情,案情,an4 qing2,an tɕʰiŋ,5,ŋ
胺醛樹脂,胺醛树脂,an4 quan2 shu4 zhi1,an tɕʰɥœn ʂu ʈʂɨ,7,ʂ
岸然道貌,岸然道貌,an4 ran2 dao4 mao4,an ʐan tɑʊ mɑʊ,5,t
黯然銷魂,黯然销魂,an4 ran2 xiao1 hun2,an ʐan ɕjɑʊ xwən,5,ɕ
按時,按时,an4 shi2,an ʂɨ,3,ɨ
暗示,暗示,an4 shi4,an ʂɨ,3,ɨ
胺酸,胺酸,an4 suan1,an swan,2,s
胺鹽,胺盐,an4 yan2,an jɛn,2,j
暗喻,暗喻,an4 yu4,an y,2,y
按章給付,按章给付,an4 zhang1 ji3 fu4,an ʈʂɑŋ tɕi fu,5,ŋ
按照,按照,an4 zhao4,an ʈʂɑʊ,5,ʊ
暗中,暗中,an4 zhong1,an ʈʂʊŋ,4,ʊ
暗中勾結,暗中勾结,an4 zhong1 gou1 jie2,an ʈʂʊŋ koʊ tɕjɛ,6,k
暗中摸索,暗中摸索,an4 zhong1 mo1 suo3,an ʈʂʊŋ mwɔ swɔ,6,m
暗中行事,暗中行事,an4 zhong1 xing2 shi4,an ʈʂʊŋ ɕiŋ ʂɨ,6,ɕ
暗自竊喜,暗自窃喜,an4 zi4 qie4 xi3,an tsɯ tɕʰjɛ ɕi,3,s
案子,案子,an4 zi5,an tsɯ,3,s
骯髒,肮脏,ang1 zang1,ɑŋ tsɑŋ,2,t
昂貴,昂贵,ang2 gui4,ɑŋ kweɪ,2,k
盎司,盎司,ang4 si1,ɑŋ sɯ,2,s
凹凸,凹凸,ao1 tu1,ɑʊ tʰu,3,u
鰲拜,鳌拜,ao2 bai4,ɑʊ paɪ,2,p
獒犬,獒犬,ao2 quan3,ɑʊ tɕʰɥœn,2,t
鰲頭,鳌头,ao2 tou2,ɑʊ tʰoʊ,3,o
翱翔,翱翔,ao2 xiang2,ɑʊ ɕjɑŋ,2,ɕ
遨遊,遨游,ao2 you2,ɑʊ yoʊ,2,y
傲骨嶙峋,傲骨嶙峋,ao4 gu3 lin2 xun2,ɑʊ ku lin ɕyn,2,k
懊悔,懊悔,ao4 hui3,ɑʊ xweɪ,2,x
拗口,拗口,ao4 kou3,ɑʊ kʰoʊ,2,kʰ
拗口令,拗口令,ao4 kou3 ling4,ɑʊ kʰoʊ liŋ,2,kʰ
傲慢,傲慢,ao4 man4,ɑʊ man,3,a
奧妙,奥妙,ao4 miao4,ɑʊ mjɑʊ,3,j
傲視,傲视,ao4 shi4,ɑʊ ʂɨ,2,ʂ
奧陶紀,奥陶纪,ao4 tao2 ji4,ɑʊ tʰɑʊ tɕi,3,ɑ
巴巴,巴巴,ba1 ba1,pa pa,3,a
巴巴結結,巴巴结结,ba1 ba5 jie1 jie1,pa pa tɕjɛ tɕjɛ,3,a
巴不得,巴不得,ba1 bu5 de2,pa pu tɤ,3,u
扒車,扒车,ba1 che1,pa ʈʂʰɤ,4,ɤ
八成,八成,ba1 cheng2,pa ʈʂʰɤŋ,4,ɤ
扒帶,扒带,ba1 dai4,pa taɪ,3,a
扒帶子,扒带子,ba1 dai4 zi5,pa taɪ tsɯ,3,a
八點,八点,ba1 dian3,pa tjɛn,3,j
八點半,八点半,ba1 dian3 ban4,pa tjɛn pan,6,p
八點鐘,八点钟,ba1 dian3 zhong1,pa tjɛn ʈʂʊŋ,6,ʈ
巴兒狗,巴儿狗,ba1 er5 gou3,pa ɑɻ koʊ,2,ɑ
八竿子打不著,八竿子打不着,ba1 gan1 zi5 da3 bu5 zhao2,pa kan tsɯ ta pu ʈʂɑʊ,3,a
八卦,八卦,ba1 gua4,pa kwa,3,w
疤痕,疤痕,ba1 hen2,pa xən,3,ə
芭蕉,芭蕉,ba1 jiao1,pa tɕjɑʊ,5,ɑ
