百貨公司,百货公司,bai3 huo4 gong1 si1,paɪ xwɔ kʊŋ sɯ
百家爭鳴,百家争鸣,bai3 jia1 zheng1 ming2,paɪ tɕja ʈʂɤŋ miŋ
百科,百科,bai3 ke1,paɪ kʰɤ
百科全書,百科全书,bai3 ke1 quan2 shu1,paɪ kʰɤ tɕʰɥœn ʂu
擺款,摆款,bai3 kuan3,paɪ kʰwan
擺擂,摆擂,bai3 lei4,paɪ lɤ
擺擂台,摆擂台,bai3 lei4 tai2,paɪ lɤ tʰaɪ
百里香,百里香,bai3 li3 xiang1,paɪ li ɕjɑŋ
百忙之中,百忙之中,bai3 mang2 zhi1 zhong1,paɪ mɑŋ ʈʂɨ ʈʂʊŋ
柏木,柏木,bai3 mu4,paɪ mu
擺弄,摆弄,bai3 nong4,paɪ nʊŋ
百善孝為先,百善孝为先,bai3 shan4 xiao4 wei2 xian1,paɪ ʂan ɕjɑʊ wɤ ɕjɛn
擺設,摆设,bai3 she4,paɪ ʂɤ
柏樹,柏树,bai3 shu4,paɪ ʂu
百思不得其解,百思不得其解,bai3 si1 bu4 de2 qi2 jie3,paɪ sɯ pu tɤ tɕʰi tɕjɛ
百思不解,百思不解,bai3 si1 bu4 jie3,paɪ sɯ pu tɕjɛ
擺脫,摆脱,bai3 tuo1,paɪ tʰwɔ
百萬,百万,bai3 wan4,paɪ wan
百萬富翁,百万富翁,bai3 wan4 fu4 weng1,paɪ wan fu wɤŋ
百聞不如一見,百闻不如一见,bai3 wen2 bu4 ru2 yi2 jian4,paɪ wən pu ʐu i tɕjɛn
百香果,百香果,bai3 xiang1 guo3,paɪ ɕjɑŋ kwɔ
百星不如一月,百星不如一月,bai3 xing1 bu4 ru2 yi2 yue4,paɪ ɕiŋ pu ʐu i ɥœ
百姓,百姓,bai3 xing4,paɪ ɕiŋ
百姓充實,百姓充实,bai3 xing4 chong1 shi2,paɪ ɕiŋ ʈʂʰʊŋ ʂɨ
百葉窗簾,百叶窗帘,bai3 ye4 chuang1 lian2,paɪ jɛ ʈʂʰwɑŋ ljɛn
百依百順,百依百顺,bai3 yi1 bai3 shun4,paɪ i paɪ ʂwən
擺在面前,摆在面前,bai3 zai4 mian4 qian2,paɪ tsaɪ mjɛn tɕʰjɛn
百戰百勝,百战百胜,bai3 zhan4 bai3 sheng4,paɪ ʈʂan paɪ ʂɤŋ
百戰不殆,百战不殆,bai3 zhan4 bu2 dai4,paɪ ʈʂan pu taɪ
百折不撓,百折不挠,bai3 zhe2 bu4 nao2,paɪ ʈʂɤ pu nɑʊ
百褶裙,百褶裙,bai3 zhe3 qun2,paɪ ʈʂɤ tɕʰyn
百足之蟲，死而不僵,百足之虫，死而不僵,bai3 zu2 zhi1 chong2 si3 er2 bu4 jiang1,paɪ tsu ʈʂɨ ʈʂʰʊŋ sɯ ɑɻ pu tɕjɑŋ
敗北,败北,bai4 bei3,paɪ bɤ
稗草,稗草,bai4 cao3,paɪ tsʰɑʊ
拜訪,拜访,bai4 fang3,paɪ fɑŋ
拜訪親友,拜访亲友,bai4 fang3 qin1 you3,paɪ fɑŋ tɕʰin yoʊ
稗官,稗官,bai4 guan1,paɪ kwan
稗官小說,稗官小说,bai4 guan1 xiao3 shuo1,paɪ kwan ɕjɑʊ ʂwɔ
拜祭,拜祭,bai4 ji4,paɪ tɕi
拜將,拜将,bai4 jiang4,paɪ tɕjɑŋ
敗將,败将,bai4 jiang4,paɪ tɕjɑŋ
拜金,拜金,bai4 jin1,paɪ tɕin
敗軍之將,败军之将,bai4 jun1 zhi1 jiang4,paɪ tɕyn ʈʂɨ tɕjɑŋ
拜師,拜师,bai4 shi1,paɪ ʂɨ
稗史,稗史,bai4 shi3,paɪ ʂɨ
拜謁,拜谒,bai4 ye4,paɪ jɛ
敗仗,败仗,bai4 zhang4,paɪ ʈʂɑŋ
敗陣,败阵,bai4 zhen4,paɪ ʈʂən
稗政,稗政,bai4 zheng4,paɪ ʈʂɤŋ
稗子,稗子,bai4 zi5,paɪ tsɯ
稗子麵,稗子面,bai4 zi5 mian4,paɪ tsɯ mjɛn
稗子麵,稗子面,bai4 zi5 mian4,paɪ tsɯ mjɛn
稗子麵饃饃,稗子面馍馍,bai4 zi5 mian4 mo2 mo2,paɪ tsɯ mjɛn mwɔ mwɔ
搬兵,搬兵,ban1 bing1,pan piŋ
斑駁,斑驳,ban1 bo2,pan pwɔ
頒佈,颁布,ban1 bu4,pan pu
頒佈詔諭,颁布诏谕,ban1 bu4 zhao4 yu4,pan pu ʈʂɑʊ y
斑點,斑点,ban1 dian3,pan tjɛn
頒發,颁发,ban1 fa1,pan fa
瘢痕,瘢痕,ban1 hen2,pan xən
搬回,搬回,ban1 hui2,pan xweɪ
